Nov 21 2011 16:39:41;20.01;20.00;;20.10;19.95;
Nov 21 2011 16:40:46;20.00;20.00;;20.11;19.95;
Nov 21 2011 16:41:49;20.01;20.00;;20.12;19.95;
Nov 21 2011 16:42:52;20.01;20.00;;20.10;19.95;
Nov 21 2011 16:43:55;20.01;20.00;;20.08;19.95;
Nov 21 2011 16:44:58;20.02;20.00;;20.08;19.95;
Nov 21 2011 16:45:22;20.01;20.50;"Beer temperature setting changed to 20.5 via web interface.";20.10;22.98;
Nov 21 2011 16:46:27;20.01;20.50;;20.13;30.00;
Nov 21 2011 16:47:30;20.00;20.50;;20.23;30.00;
Nov 21 2011 16:48:33;20.00;20.50;;20.36;30.00;
Nov 21 2011 16:49:39;20.01;20.50;;20.49;30.00;
Nov 21 2011 16:50:19;20.01;20.50;;20.62;30.00;" Arduino restarted! "
